dataset,query_size,query_mode,query_index,enumerate_time,n_embeddings,n_intersections
orkut,8,dense,1,31.7775s,718319,11911080
orkut,8,dense,2,31.4423s,2122314,11595724
orkut,8,dense,3,33.5162s,4243645,11439440
orkut,8,dense,4,34.5061s,447770,44673215
orkut,8,dense,5,32.694s,1867295,29256527
orkut,8,dense,6,33.0225s,1517097,38515444
orkut,8,dense,7,212.889s,84422,936155095
orkut,8,dense,8,33.9544s,832973,20463877
orkut,8,dense,9,32.3496s,878765,11486080
orkut,8,dense,10,33.9476s,336581,38040684
orkut,8,dense,11,33.4506s,3409886,45054250
orkut,8,dense,12,185.216s,35266,81846122
orkut,8,dense,13,35.5976s,13113350,35260700
orkut,8,dense,14,31.4492s,473717,21175826
orkut,8,dense,15,40.2013s,477307,82227243
orkut,8,dense,16,33.1566s,52467,34717788
orkut,8,dense,17,32.5603s,480851,20731764
orkut,8,dense,18,47.27s,101888,95890776
orkut,8,dense,19,54.653s,664630,498637048
orkut,8,dense,20,3.61161s,29231796,1445710
orkut,8,dense,21,33.6291s,80712,46037224
orkut,8,dense,22,32.1429s,283362,40130688
orkut,8,dense,23,32.5581s,3446020,28493011
orkut,8,dense,24,31.7916s,2129524,24849077
orkut,8,dense,25,32.5559s,3545761,22740687
orkut,8,dense,26,39.456s,244040,204688848
orkut,8,dense,27,201.664s,29981,241374181
orkut,8,dense,28,36.6233s,19729269,56172350
orkut,8,dense,29,31.3018s,549592,11752232
orkut,8,dense,30,6.24192s,1993620,2424403
orkut,8,dense,31,32.4229s,797987,28129845
orkut,8,dense,32,34.1413s,71261,35217560
orkut,8,dense,33,31.6338s,2052619,11612500
orkut,8,dense,34,31.5393s,784928,11653710
orkut,8,dense,35,33.4526s,4389398,38849341
orkut,8,dense,36,34.6242s,1200655,39544243
orkut,8,dense,37,32.3759s,187779,43702373
orkut,8,dense,38,31.9826s,755522,21421671
orkut,8,dense,39,31.9755s,166599,22417604
orkut,8,dense,40,31.5394s,5899798,11639520
orkut,8,dense,41,31.1724s,230916,23923194
orkut,8,dense,42,31.6051s,829116,11721320
orkut,8,dense,43,34.5128s,106850,40485099
orkut,8,dense,44,32.2306s,2426282,21163201
orkut,8,dense,45,31.3539s,6229287,11719084
orkut,8,dense,46,198.488s,50112,190814026
orkut,8,dense,47,34.2585s,60414,61297120
orkut,8,dense,48,31.1497s,122226,11486442
orkut,8,dense,49,31.6567s,1109043,11640764
orkut,8,dense,50,40.4606s,432792,85954684
orkut,8,dense,51,32.9325s,2917114,11549469
orkut,8,dense,52,35.9562s,2651687,39548040
orkut,8,dense,53,31.1971s,7400846,11615352
orkut,8,dense,54,35.3426s,86643,38064713
orkut,8,dense,55,32.2201s,466090,11624832
