dataset,query_size,query_mode,query_index,enumerate_time,n_embeddings,n_intersections
youtube2007,6,dense,1,0.742107s,4543075,4806968
youtube2007,6,dense,2,2.69706s,5021645,6281805
youtube2007,6,dense,3,0.34624s,72830166,4062761
youtube2007,6,dense,4,0.408301s,363485,7031565
youtube2007,6,dense,5,2.865s,729958,20137055
youtube2007,6,dense,6,1.47257s,48790,1904370
youtube2007,6,dense,7,4.95253s,175847109,129250272
youtube2007,6,dense,8,3.34137s,142173511,42027618
youtube2007,6,dense,9,3.14382s,541512,32885395
youtube2007,6,dense,10,1.24786s,2751106,24275189
youtube2007,6,dense,11,2.98815s,135637128,44563444
youtube2007,6,dense,12,38.5816s,14311168303,1498598300
youtube2007,6,dense,13,0.604135s,113169393,19046428
youtube2007,6,dense,14,11.9161s,21235950856,39873082
youtube2007,6,dense,15,45s,62335675912,593061125
youtube2007,6,dense,16,1.37254s,130226,117920
youtube2007,6,dense,17,15.9238s,6267758809,654382370
youtube2007,6,dense,18,2.92949s,2415364474,40143810
youtube2007,6,dense,19,3.67138s,64012859,62317906
youtube2007,6,dense,20,0.817362s,614997334,16640847
youtube2007,6,dense,21,2.77769s,7505233,21200905
youtube2007,6,dense,22,44.3456s,95002227047,46520921
youtube2007,6,dense,23,5.8141s,22721074,162133900
youtube2007,6,dense,24,1.48394s,52651,14815110
youtube2007,6,dense,25,2.74771s,744755,7489713
youtube2007,6,dense,26,5.60149s,1536273165,125089467
youtube2007,6,dense,27,1.41479s,8443128,49824244
youtube2007,6,dense,28,41.4664s,24461595523,1602574373
youtube2007,6,dense,29,0.581888s,6381389,9775093
youtube2007,6,dense,30,0.224736s,60622131,696466
youtube2007,6,dense,31,0.688903s,785709,236968
youtube2007,6,dense,32,23.6986s,1373241905,777517922
youtube2007,6,dense,33,37.8865s,70111370106,68124881
youtube2007,6,dense,34,0.719815s,5690301,369798
youtube2007,6,dense,35,11.526s,4651453380,395929370
youtube2007,6,dense,36,20.0593s,17661907354,367024584
youtube2007,6,dense,37,3.61133s,21019512,61750141
youtube2007,6,dense,38,1.42889s,14395037,5989557
youtube2007,6,dense,39,43.4109s,24461595523,1602574373
youtube2007,6,dense,40,5.12362s,420,2994868
youtube2007,6,dense,41,0.920813s,42525053,32118281
youtube2007,6,dense,42,1.33773s,2457,1079425
youtube2007,6,dense,43,15.1466s,10086756410,365402121
youtube2007,6,dense,44,5.11303s,26531,933270
youtube2007,6,dense,45,5.44483s,8468,893417
youtube2007,6,dense,46,0.543252s,21022138,10703297
youtube2007,6,dense,47,77.4368s,152120703933,442828722
youtube2007,6,dense,48,2.39884s,2199705,97827268
youtube2007,6,dense,49,1.27844s,1647109967,4062761
youtube2007,6,dense,50,5.686s,3663379,21693268
youtube2007,6,dense,51,44.9829s,95002227047,46520921
youtube2007,6,dense,52,20.3148s,38199972262,49824244
youtube2007,6,dense,53,0.842165s,196614749,7417011
youtube2007,6,dense,54,0.693604s,13524,1243394
youtube2007,6,dense,55,2.48068s,1090655304,44738466
youtube2007,6,dense,56,7.7032s,269644396,180491740
youtube2007,6,dense,57,0.782505s,11730322,6984518
youtube2007,6,dense,58,3.03134s,2267820,28306944
youtube2007,6,dense,59,0.653391s,12227868,1067010
youtube2007,6,dense,60,42.0516s,24461595523,1555897399
youtube2007,6,dense,61,79.2311s,161709400962,89728841
youtube2007,6,dense,62,2.73429s,241019,6137371
youtube2007,6,dense,63,4.01568s,1536273165,90282275
youtube2007,6,dense,64,22.0747s,18416572,868582899
youtube2007,6,dense,65,3.9815s,522359487,22341830
youtube2007,6,dense,66,15.0929s,8726831775,376469458
youtube2007,6,dense,67,0.715599s,6531462,3422802
youtube2007,6,dense,68,0.262223s,1877434,3685563
youtube2007,6,dense,69,11.9254s,13397512784,114317880
youtube2007,6,dense,70,1.41097s,730253,1729587
youtube2007,6,dense,71,28.7918s,825155446,1019439490
youtube2007,6,dense,72,2.26999s,601195244,55410537
youtube2007,6,dense,73,23.5036s,11768553539,863561960
youtube2007,6,dense,74,3.50644s,38776,46525954
youtube2007,6,dense,75,15.8103s,13244252717,374332010
youtube2007,6,dense,76,1.38633s,4994,663178
youtube2007,6,dense,77,0.695284s,2803063,2821545
youtube2007,6,dense,78,0.798772s,14359,205226
youtube2007,6,dense,79,15.8108s,8263059235,367024584
youtube2007,6,dense,80,1.5068s,55318638,40143810
youtube2007,6,dense,81,13.1549s,22559169500,25822732
