dataset,query_size,query_mode,query_index,elapsed_execution_time,filter_time,plan_time,enumerate_time,n_embeddings,order,max_task_time,n_intersections
youtube2007,16,dense,49,
human,8,sparse,75,1.35425,0.000426216,0.000808938,1.35414,133365084612,1 3 2 6 0 4 7 5 ,1.35414,344660.0
youtube2007,12,sparse,41,157.92,0.00324623,0.00220683,157.92,118890186178,1 6 4 8 7 2 3 5 9 10 0 11 ,157.92,62010945.0
youtube2007,12,dense,27,0.37454,0.000440925,0.00223009,0.374451,600,1 4 7 5 6 8 3 9 10 0 2 11 ,0.374451,640186.0
human,8,sparse,85,101.583,0.000363865,0.000805677,101.583,406567787136571,0 6 3 4 2 7 1 5 ,101.583,17836938.0
youtube2007,8,sparse,29,0.272692,0.000560595,0.000961965,0.272554,557762,2 5 6 0 7 3 4 1 ,0.272554,323717.0
human,12,sparse,71,373.117,0.000226644,0.00181407,373.117,5129955270007669321,2 9 10 1 5 3 7 0 8 11 6 4 ,373.117,67859938.0
youtube2007,8,dense,19,13.0816,0.0016049,0.000915559,13.0814,4889872,6 7 1 3 4 5 2 0 ,13.0814,13027153.0
youtube2007,16,sparse,100,0.154651,0.00370645,0.00378951,0.154507,6877523136,7 6 12 9 11 14 8 10 13 15 0 4 1 2 3 5 ,0.154507,464788.0
human,8,sparse,70,43.4792,0.000350725,0.000865961,43.479,11299598975920,2 4 3 7 0 5 6 1 ,43.479,23830165.0
human,12,sparse,68,309.288,0.000192536,0.00212087,309.288,34316274867728,8 9 3 10 1 7 2 0 4 6 5 11 ,309.288,6122037.0
youtube2007,8,dense,30,94.032,0.00162025,0.000953037,94.0319,28310969676,1 3 5 2 4 0 6 7 ,94.0319,58806896.0
human,8,dense,58,130.409,0.000325784,0.00104234,130.408,144983739984,1 2 3 4 5 6 7 0 ,130.408,52470475.0
human,8,sparse,68,293.966,0.000110561,0.000918049,293.966,4640207560076,1 2 0 7 3 4 5 6 ,293.966,104767104.0
human,8,sparse,98,43.9501,0.00018153,0.000826104,43.95,3159443147572,1 7 0 6 4 5 2 3 ,43.95,33471430.0
human,12,dense,39,
