dataset,query_size,query_mode,query_index,elapsed_execution_time,filter_time,plan_time,enumerate_time,n_embeddings,order,max_task_time,n_intersections
friendster,16,sparse,99,0.0947705,1.98951,46.3375,1.00388,35560437286,11 6 3 10 4 2 8 14 1 5 9 12 13 7 15 0 ,0.0178829,196349.0
friendster,16,dense,12,0.0659703,2.38521,58.757,0.789538,2286208,9 4 3 1 5 10 14 7 13 6 0 12 15 2 8 11 ,0.013737,135130.0
friendster,16,dense,88,0.464782,2.03629,36.7247,2.90662,867673500298,3 0 2 1 5 4 6 12 14 8 7 15 13 10 11 9 ,0.408657,665186.0
friendster,16,dense,63,0.0789675,2.19244,34.4432,0.996808,418734608982,7 1 3 8 4 6 9 0 5 2 10 11 12 13 14 15 ,0.0174575,155607.0
friendster,16,dense,74,9.49844,2.04309,120.981,11.1842,157193821225820,5 1 8 4 12 13 11 3 7 2 9 15 6 10 14 0 ,9.44294,5770444.0
friendster,16,sparse,37,0.0989621,2.00076,65.2668,1.19,340456021559,0 11 5 8 10 9 12 4 2 7 1 14 15 3 6 13 ,0.0413019,238849.0
friendster,16,dense,42,0.0622497,2.60198,57.9915,0.875479,796,12 11 9 5 15 3 0 1 13 10 7 14 4 8 2 6 ,0.0174489,135558.0
friendster,16,sparse,84,0.100727,2.01383,31.6633,1.00306,9299528232168,11 9 10 5 1 4 3 13 6 0 8 15 14 12 2 7 ,0.0364647,210985.0
friendster,16,sparse,2,0.116623,2.04586,93.6112,1.6338,69851135891,10 5 14 6 4 13 8 1 11 3 0 9 12 15 2 7 ,0.053791,318189.0
friendster,16,sparse,38,0.139732,2.11876,113.81,1.55199,37508969,3 0 5 2 4 1 10 14 13 9 8 12 6 7 11 15 ,0.0780662,369551.0
friendster,16,dense,36,0.0873141,2.24939,48.1603,0.867133,107394448,8 0 2 4 3 10 7 1 6 12 11 9 13 15 14 5 ,0.0329196,177286.0
friendster,16,sparse,35,0.0967423,2.03314,45.2592,1.12785,122030383486,5 0 8 13 12 6 15 11 7 4 14 10 3 2 9 1 ,0.022789,204200.0
friendster,16,dense,71,0.0975126,2.08742,39.1643,0.93726,298298159354,9 10 7 8 11 12 4 15 2 3 6 0 14 5 1 13 ,0.0334822,191886.0
friendster,16,sparse,65,0.0909073,2.0979,36.5887,0.8701,184265172,6 4 8 1 11 0 5 10 3 9 7 13 2 15 12 14 ,0.0302793,170626.0
friendster,16,dense,75,0.0793074,2.19644,37.055,0.659394,420,2 8 10 9 14 11 5 1 7 13 12 6 0 15 4 3 ,0.0408085,139816.0
friendster,16,sparse,60,0.137418,2.09183,34.4614,2.24066,578179982,10 11 13 0 3 4 2 6 7 8 12 9 5 15 14 1 ,0.0549786,622455.0
friendster,16,sparse,93,0.0795082,2.20273,32.3652,0.865404,6956646,4 9 12 1 14 11 10 0 7 2 6 8 3 13 5 15 ,0.0222735,185240.0
