dataset,query_size,query_mode,query_index,elapsed_execution_time,filter_time,plan_time,enumerate_time,n_embeddings,order,max_task_time,n_intersections
human,8,sparse,51,0.455155,0.00115409,0.00489537,0.454997,11773023074,1 0 2 4 7 3 6 5 ,0.454997,259511.0
human,8,dense,72,0.00322161,0.00106319,0.00132488,0.0031557,28160,4 2 3 6 5 7 1 0 ,0.0031557,2945.0
human,8,dense,54,7.95847,0.00138534,0.00239533,7.95826,10730691346,1 5 2 3 6 0 4 7 ,7.95826,2582540.0
human,8,dense,45,0.000642716,0.000799312,0.0014486,0.000574014,13500,1 5 0 2 3 6 4 7 ,0.000574014,317.0
human,8,dense,12,1.91957,0.000863205,0.00186477,1.9193,344150688,2 0 1 4 5 6 3 7 ,1.9193,1687.0
human,8,sparse,4,0.114876,0.000905319,0.00439504,0.114742,1370571264,0 3 1 6 7 4 2 5 ,0.114742,75948.0
human,8,sparse,58,2.31972,0.00100552,0.0150326,2.31953,1336301399640,2 5 7 3 1 4 6 0 ,2.31953,1112146.0
human,12,sparse,24,0.0408817,0.00136285,0.0121674,0.0408073,159160976,7 8 6 5 4 2 1 0 3 11 10 9 ,0.0408073,31654.0
human,8,sparse,80,1104.47,0.00152493,0.0281459,31204.2,872840664713685,1 6 4 5 3 7 2 0 ,574.212,2630542425.0
human,8,dense,55,1.92255,0.000859123,0.00185973,1.9224,344150688,2 0 1 4 5 6 3 7 ,1.9224,1687.0
human,8,dense,46,1.03339,0.000942373,0.00186789,1.03324,241741500,6 5 7 1 0 2 3 4 ,1.03324,26782.0
human,8,sparse,21,126.04,0.000924831,0.0056038,126.04,28558234344,7 6 5 2 3 1 0 4 ,126.04,1746.0
human,8,dense,86,
human,8,dense,82,0.484943,0.000928747,0.00421039,10.2382,6071234974,2 4 0 1 3 6 7 5 ,0.274088,3557709.0
human,8,dense,22,959.142,0.00108914,0.00446676,959.141,6245683416,0 5 6 1 2 3 4 7 ,959.141,466085052.0
human,16,dense,42,0.000684203,0.00119363,0.0091593,0.000537229,0,11 13 7 4 12 9 3 8 10 14 15 5 6 2 0 1 ,0.000537229,117.0
human,8,sparse,85,7.82892,0.00118738,0.0221491,224.906,406567787136571,0 6 3 7 2 4 1 5 ,7.22568,16242309.0
human,8,sparse,50,
human,8,sparse,70,2.68481,0.00142446,0.0407847,77.5451,11299598975920,2 7 0 3 4 6 5 1 ,1.11121,13731472.0
human,8,sparse,24,3.8365,0.00129589,0.0392367,7.56946,6983275160382,0 7 2 3 4 1 6 5 ,3.59551,3551833.0
human,8,sparse,1,0.721844,0.00102303,0.00683721,0.721637,96433430217,0 2 7 3 5 1 4 6 ,0.721637,364373.0
human,8,dense,94,0.92705,0.000836634,0.00227005,9.15612,2429050893,4 3 5 6 7 2 0 1 ,0.224316,4351779.0
human,8,dense,34,1.49573,0.00111063,0.00251034,40.6649,301180362,1 0 7 2 3 4 5 6 ,0.851426,13760265.0
human,8,sparse,27,0.253218,0.00126275,0.00320031,0.253104,2459334751,0 1 5 4 2 3 6 7 ,0.253104,89064.0
human,16,dense,78,1.38554,0.0014349,0.0219588,9.84192,419709960,14 13 15 12 11 10 5 3 2 7 6 4 8 9 1 0 ,0.249386,3813431.0
