dataset,query_size,query_mode,query_index,elapsed_execution_time,filter_time,plan_time,enumerate_time,n_embeddings,order,max_task_time,n_intersections
human,16,dense,68,1.0371,0.00113666,0.000610564,1.03695,2923200,6 8 9 4 5 11 7 15 12 13 14 10 2 1 0 3 ,1.03695,2074344.0
human,8,dense,73,306.762,0.000837256,0.000326168,306.762,1888563124,2 4 0 1 3 5 6 7 ,306.762,636392428.0
human,16,sparse,68,284.353,0.00118469,0.000613832,284.353,2119982175,5 9 6 11 7 4 12 8 14 13 15 10 2 0 1 3 ,284.353,647437522.0
human,8,dense,3,402.927,0.00111941,0.000353073,402.927,6306706800,2 0 1 3 5 7 4 6 ,402.927,153283850.0
human,8,dense,61,0.0110709,0.00107408,0.000335806,0.0110083,133640,3 2 0 1 5 6 7 4 ,0.0110083,10386.0
human,8,dense,79,
human,8,dense,87,239.537,0.000616693,0.000458306,239.537,344150688,2 0 1 4 5 6 3 7 ,239.537,1406089311.0
human,8,dense,53,393.692,0.00119579,0.000888161,393.692,965521519,3 2 5 7 0 1 4 6 ,393.692,682462226.0
human,8,dense,45,0.00348386,0.000685064,0.000313004,0.00342375,13500,1 5 0 2 3 6 4 7 ,0.00342375,5611.0
human,8,dense,19,
human,8,dense,57,
human,12,sparse,1,24.2354,0.000954607,0.000393667,24.2352,299452260,0 6 7 1 5 2 3 4 10 8 11 9 ,24.2352,27727888.0
human,8,dense,4,16.6595,0.00078478,0.000405923,16.6593,91743660,1 0 2 3 4 5 7 6 ,16.6593,7244805.0
human,8,sparse,72,0.0390579,0.000862181,0.00037051,0.0389347,341760,5 3 2 6 4 7 1 0 ,0.0389347,93704.0
human,8,dense,43,910.433,0.000815534,0.000494664,910.433,11540632597,1 2 0 3 4 7 5 6 ,910.433,1112737844.0
human,8,dense,69,6.51802,0.000906236,0.00036778,6.51781,97683360,2 0 3 4 5 6 7 1 ,6.51781,6119184.0
human,8,dense,48,0.169313,0.000865813,0.00043009,0.169183,454256,0 2 7 1 3 4 5 6 ,0.169183,385831.0
human,12,sparse,4,
human,8,sparse,4,75.6155,0.000933113,0.000440819,75.6153,1370571264,0 3 1 6 7 4 2 5 ,75.6153,42481851.0
human,8,dense,2,77.4893,0.000985786,0.000905211,77.4891,135118306,4 0 1 2 3 5 6 7 ,77.4891,174901420.0
human,8,sparse,44,
human,8,dense,9,
human,8,dense,65,
human,8,sparse,51,548.077,0.00120483,0.000459035,548.077,11773023074,1 0 2 4 7 3 6 5 ,548.077,104769409.0
human,16,sparse,7,
human,8,sparse,87,
human,8,dense,7,3.32803,0.00110125,0.000523762,3.32788,68531400,2 5 6 4 0 1 3 7 ,3.32788,627659.0
human,12,dense,2,0.0595824,0.00141648,0.000612483,0.0594259,1013850,3 7 4 11 10 9 5 6 8 2 0 1 ,0.0594259,24971.0
human,8,dense,25,
human,8,dense,83,
human,8,dense,28,455.585,0.000813382,0.000414748,455.584,4711983160,2 0 1 3 4 5 6 7 ,455.584,304501353.0
human,12,dense,22,0.0834633,0.00101612,0.000394381,0.0833746,1202652,3 4 9 0 6 5 7 1 2 8 11 10 ,0.0833746,51231.0
human,8,dense,35,
human,8,dense,29,
human,8,sparse,74,102.28,0.000777208,0.000594123,102.279,1989878990,6 5 1 4 3 0 2 7 ,102.279,59703269.0
human,8,sparse,75,
human,16,sparse,10,43.3605,0.00147356,0.00065298,43.3603,639393670,3 14 15 8 1 0 4 2 6 13 12 11 10 5 7 9 ,43.3603,44003408.0
human,16,dense,10,5.18397,0.00134096,0.000572296,5.18382,3614160,2 5 4 1 6 8 15 7 0 3 13 10 11 12 9 14 ,5.18382,25708670.0
human,8,dense,6,2.34933,0.000988901,0.000448537,2.34921,330225,7 2 1 0 3 4 5 6 ,2.34921,7650091.0
human,8,sparse,7,21.7344,0.000957579,0.000309354,21.7343,460139400,5 6 4 1 2 3 0 7 ,21.7343,3637880.0
