dataset,query_size,query_mode,query_index,elapsed_execution_time,filter_time,plan_time,enumerate_time,n_embeddings,order,max_task_time,n_intersections
youtube2007,8,dense,4,32.1914,1.41104,0.565179,32.1826,1810971876,mixed,9.52945,21769351
youtube2007,8,dense,5,0.0174928,0.9516120000000001,0.017940400000000002,0.017104599999999998,37928,mixed,0.00548248,14227
youtube2007,8,dense,6,90.3487,3.6026300000000004,3.64742,90.3003,8313609576,mixed,48.4139,66647924
youtube2007,8,dense,9,0.355986,0.48206000000000004,0.0557572,0.354973,10779078,mixed,0.222804,325936
youtube2007,8,dense,10,504.156,2.84668,2.87585,504.129,30074837469,mixed,329.565,383065659
youtube2007,8,dense,12,0.063439,0.635937,0.035867,0.06294259999999999,2333180,mixed,0.026834399999999998,51735
youtube2007,8,dense,14,11.6061,1.38541,0.160976,11.603,934645386,mixed,4.83553,5348862
youtube2007,8,dense,15,446.509,2.74097,3.68281,446.465,83621425335,mixed,187.705,315822233
youtube2007,8,dense,18,0.328298,1.2286700000000002,0.1006,0.32708000000000004,1651374,mixed,0.07584489999999999,350648
youtube2007,8,dense,19,0.36543000000000003,0.914291,0.104459,0.36394699999999996,4889872,mixed,0.181146,306250
youtube2007,8,dense,20,214.817,5.54601,5.25203,214.773,4443371876,mixed,72.9052,115803895
youtube2007,8,dense,21,0.357256,1.0717700000000001,0.134193,0.354435,14471590,mixed,0.135778,207616
youtube2007,8,dense,23,1.4367299999999998,1.07063,0.41953999999999997,1.43297,11589738,mixed,0.489227,1112236
youtube2007,8,dense,24,217.40200000000002,1.34816,1.3098299999999998,217.389,19172769238,mixed,107.84899999999999,133606837
youtube2007,8,dense,26,0.062325,1.02847,0.0565755,0.0616482,162032,mixed,0.0400343,66351
youtube2007,8,dense,27,0.163056,1.66967,0.1606,0.160642,565319,mixed,0.040965499999999995,206843
youtube2007,8,dense,28,0.048508800000000005,1.43226,0.0209798,0.047822500000000004,418496,mixed,0.023384400000000003,36709
youtube2007,8,dense,29,17.7053,2.43341,1.20033,17.6934,91068504,mixed,5.8560099999999995,12733042
youtube2007,8,dense,30,90.0495,1.54395,1.47823,90.0361,28310969676,mixed,34.3934,42452970
youtube2007,8,dense,31,2.83683,1.6850900000000002,0.62827,2.8281,73058160,mixed,1.90198,1920766
youtube2007,8,dense,32,76.4331,5.25433,3.50598,76.392,2936454778,mixed,28.2574,51186858
youtube2007,8,dense,35,0.08619539999999999,0.627505,0.035422,0.0856395,935485,mixed,0.0420331,81136
youtube2007,8,dense,39,0.022484999999999998,0.323793,0.00873786,0.022250400000000004,114182,mixed,0.013335299999999998,16077
youtube2007,8,dense,40,27.8031,2.31977,0.716283,27.7948,319003190,mixed,7.816669999999999,18658282
youtube2007,8,dense,41,44.827,1.90799,1.38831,44.8134,1127083906,mixed,13.3837,42852592
youtube2007,8,dense,42,13.4986,2.0863,0.572044,13.4886,1779017600,mixed,4.81274,13378161
youtube2007,8,dense,45,257.805,2.8824099999999997,1.1475799999999998,257.79,5458366038,mixed,90.2609,259707971
youtube2007,8,dense,47,245.484,5.02628,1.89208,245.428,51819788358,mixed,66.008,124915596
youtube2007,8,dense,48,0.00534745,0.9120389999999999,0.00368378,0.00520665,11604,mixed,0.00211775,2296
youtube2007,8,dense,50,0.0215162,0.194642,0.0062173,0.0213172,56158,mixed,0.00947152,22448
youtube2007,8,dense,51,34.6717,3.05881,1.17333,34.6578,1673377853,mixed,11.3056,30471963
youtube2007,8,dense,52,0.00522128,0.996417,0.00439446,0.00509324,1759,mixed,0.00128661,1590
youtube2007,8,dense,53,0.015183199999999999,0.951159,0.00946254,0.0149572,43614,mixed,0.00637997,14090
youtube2007,8,dense,54,16.8597,2.46663,2.2398599999999997,16.8425,143999176,mixed,5.269769999999999,13090802
youtube2007,8,dense,56,0.017468200000000003,0.9904139999999999,0.00943591,0.015386500000000001,28559,mixed,0.00507619,13374
youtube2007,8,dense,60,0.211312,0.638249,0.0595101,0.21071399999999998,10294944,mixed,0.11098699999999999,240285
youtube2007,8,dense,62,2.50883,0.5709529999999999,0.0671825,2.5078,28048280,mixed,0.9039940000000001,2610508
youtube2007,8,dense,63,4.48174,1.63841,0.505724,4.47425,152441966,mixed,1.35404,4602425
youtube2007,8,dense,64,3.48465,1.37513,0.697074,3.4774800000000003,69622656,mixed,1.9124700000000001,3384963
youtube2007,8,dense,67,1.18632,1.5162,0.22718899999999997,1.18293,12137792,mixed,0.55696,1398777
youtube2007,8,dense,68,0.44843900000000003,1.89668,0.180585,0.44316000000000005,9340899,mixed,0.172988,362966
youtube2007,8,dense,69,0.611228,1.28766,0.19308599999999998,0.609849,2464846,mixed,0.250187,541880
youtube2007,8,dense,73,0.312934,0.5927279999999999,0.058577599999999994,0.311949,51800920,mixed,0.142183,365767
youtube2007,8,dense,75,0.121022,1.05511,0.137974,0.11698499999999999,2060176,mixed,0.097092,132037
youtube2007,8,dense,78,63.9893,0.8877079999999999,0.402805,63.9835,18627072316,mixed,48.4049,73666974
youtube2007,8,dense,79,26.4987,2.14942,0.979925,26.483,17630524852,mixed,7.69538,25626406
youtube2007,8,dense,81,425.121,5.1676400000000005,5.48782,425.06199999999995,9893840194,mixed,187.487,440386756
youtube2007,8,dense,84,44.1441,2.3258900000000002,2.2587,44.1157,5765328428,mixed,18.3727,26516427
youtube2007,8,dense,85,0.69117,2.0028200000000003,0.171478,0.68601,24644806,mixed,0.262741,618020
youtube2007,8,dense,86,503.4,5.34591,7.04955,503.332,41742723954,mixed,238.25900000000001,309495097
youtube2007,8,dense,87,11.2697,1.2681,0.0894506,11.2683,1136773470,mixed,8.74725,6611082
youtube2007,8,dense,89,340.375,2.0451900000000003,2.2172400000000003,340.351,5814024312,mixed,170.90400000000002,174062935
youtube2007,8,dense,90,0.00706522,0.804554,0.00838695,0.00687667,7396,mixed,0.0029072,4317
youtube2007,8,dense,92,439.411,2.17861,2.0428,439.38599999999997,14718039248,mixed,136.901,303103936
youtube2007,8,dense,94,9.85319,2.39126,1.68547,9.84079,128830004,mixed,3.51042,9148897
youtube2007,8,dense,95,48.4153,1.63693,0.659836,48.4047,16257357230,mixed,25.3443,24551197
youtube2007,8,dense,98,27.77,0.335025,0.14419400000000002,27.767,3867011564,mixed,11.2816,18665717
youtube2007,8,dense,99,0.020233,0.667269,0.014394200000000001,0.0199895,21995,mixed,0.00609452,22331
youtube2007,8,sparse,1,0.20717800000000003,1.01627,0.050156099999999995,0.20494,6801281,mixed,0.07152130000000001,137636
youtube2007,8,sparse,2,63.7281,1.9359099999999998,1.8736700000000002,63.7036,21830099425,mixed,29.5771,36612645
youtube2007,8,sparse,5,6.285769999999999,0.473058,0.08448689999999999,6.28355,447209421,mixed,2.57606,452643
youtube2007,8,sparse,6,0.959153,2.64397,0.404905,0.9466100000000001,202680341,mixed,0.370433,511566
youtube2007,8,sparse,7,0.24885900000000002,0.812669,0.0705246,0.24709299999999998,94999955,mixed,0.174492,134065
youtube2007,8,sparse,8,69.2518,0.9546450000000001,1.0156100000000001,69.242,8102001448,mixed,54.1237,31993863
youtube2007,8,sparse,10,0.00277359,0.912401,0.00268891,0.0016349000000000001,38499,mixed,0.0005423509999999999,673
youtube2007,8,sparse,13,359.13599999999997,2.99071,7.26433,359.07599999999996,6227460784,mixed,118.147,170141008
youtube2007,8,sparse,14,279.508,4.90581,6.34168,279.44,10218984832,mixed,106.428,70880360
youtube2007,8,sparse,15,2.1852099999999997,1.77257,0.507955,2.16574,2331668142,mixed,1.3805,1639028
youtube2007,8,sparse,16,100.147,3.29538,3.34257,100.11200000000001,1543726926,mixed,55.0266,89563982
youtube2007,8,sparse,19,0.159563,1.49132,0.19197,0.15866,80157,mixed,0.0466722,171882
youtube2007,8,sparse,21,1.3265200000000001,1.00976,0.156968,1.32239,30171076,mixed,0.8654649999999999,752867
youtube2007,8,sparse,23,0.293569,1.59276,0.189487,0.288021,6328838,mixed,0.131287,223444
youtube2007,8,sparse,24,153.196,2.60623,3.81889,153.155,15258440598,mixed,51.9768,65496586
youtube2007,8,sparse,25,34.5133,0.435935,0.551719,34.509,3847241262,mixed,24.3244,21739567
youtube2007,8,sparse,26,15.3907,1.9510599999999998,1.0365799999999998,15.3676,467197878,mixed,4.17799,10692565
youtube2007,8,sparse,28,22.2557,3.27524,2.46502,22.2045,30794348148,mixed,11.0257,11299453
youtube2007,8,sparse,29,0.191761,0.5515140000000001,0.060651800000000006,0.190883,557762,mixed,0.09596139999999999,137505
youtube2007,8,sparse,31,68.3249,5.11733,3.3035300000000003,68.2538,46877168000,mixed,21.3384,36540159
youtube2007,8,sparse,32,176.12900000000002,2.0173400000000004,0.541683,176.118,12519768722,mixed,86.7119,8475297
youtube2007,8,sparse,33,0.35169,0.927869,0.21674000000000002,0.34645,84169176,mixed,0.207738,339165
youtube2007,8,sparse,34,1.89103,0.487183,0.122752,1.8892200000000001,9046410,mixed,1.2395100000000001,1465719
youtube2007,8,sparse,36,28.4577,4.45148,2.88591,28.4211,522870260,mixed,11.2203,20016437
youtube2007,8,sparse,38,120.896,5.321269999999999,4.66086,120.81299999999999,263842843252,mixed,47.6271,30983719
youtube2007,8,sparse,39,0.00458256,0.805902,0.00730474,0.00436799,3037,mixed,0.00147965,1993
youtube2007,8,sparse,40,34.3689,2.8761900000000002,2.47741,34.3238,113125525906,mixed,12.6662,18278312
youtube2007,8,sparse,41,19.1623,2.0704599999999997,1.4306299999999998,19.1355,579963456,mixed,7.779889999999999,11208723
youtube2007,8,sparse,43,318.23,1.8249799999999998,1.1044200000000002,318.205,22078410104,mixed,105.571,21733938
youtube2007,8,sparse,44,80.6674,3.2558,4.4117,80.6112,30538209946,mixed,25.7986,54433508
youtube2007,8,sparse,45,4.8867199999999995,1.8456700000000001,0.5304909999999999,4.877330000000001,119899767,mixed,3.1465,2520306
youtube2007,8,sparse,46,16.6307,4.89911,3.06658,16.5715,289232483128,mixed,6.10564,10337458
youtube2007,8,sparse,47,0.0119863,0.972024,0.0451527,0.0112465,33738,mixed,0.00369493,9622
youtube2007,8,sparse,49,1.06103,2.2682700000000002,0.6431680000000001,1.04992,72169044,mixed,0.36648800000000004,780118
youtube2007,8,sparse,51,558.778,1.74075,2.2800599999999998,558.756,80147648530,mixed,255.95,306425175
youtube2007,8,sparse,53,14.6599,4.3617099999999995,2.24114,14.6297,374533618,mixed,7.240239999999999,11938502
youtube2007,8,sparse,54,0.0629564,1.43172,0.11028099999999999,0.0614703,175996,mixed,0.018309,67416
youtube2007,8,sparse,55,0.0178093,0.895344,0.011207700000000001,0.017480700000000002,149802,mixed,0.00927679,12610
youtube2007,8,sparse,57,439.125,2.294,3.05931,439.091,105419480996,mixed,292.339,200789773
youtube2007,8,sparse,58,0.0230387,0.977922,0.014141999999999998,0.022592599999999997,618334,mixed,0.00701869,14922
youtube2007,8,sparse,59,0.030925900000000003,1.37878,0.0599665,0.0294058,384423,mixed,0.0131439,19008
youtube2007,8,sparse,61,4.69923,1.36247,0.585743,4.69198,100720240,mixed,1.8907200000000002,2780518
youtube2007,8,sparse,62,66.4087,2.91082,1.15286,66.3787,5819592620,mixed,20.3926,6179573
youtube2007,8,sparse,63,53.9091,1.24163,0.643361,53.8931,23493698411,mixed,25.7903,10859393
youtube2007,8,sparse,66,97.5878,1.8322,1.44285,97.5679,44527091726,mixed,38.5867,57161671
youtube2007,8,sparse,67,42.5328,4.20763,2.05159,42.4985,4045457427,mixed,18.3107,32054924
youtube2007,8,sparse,69,0.10901300000000001,0.7676390000000001,0.0663127,0.107865,1543128,mixed,0.0650635,91913
youtube2007,8,sparse,70,78.5375,0.9513590000000001,1.39716,78.5265,13082101753,mixed,55.0779,34364634
youtube2007,8,sparse,71,0.0183144,0.9040790000000001,0.0351913,0.0176784,26132,mixed,0.00610944,11603
youtube2007,8,sparse,74,6.32545,1.80227,1.28024,6.310569999999999,434568060,mixed,2.72192,5919515
youtube2007,8,sparse,75,7.34859,0.987668,0.7034699999999999,7.34048,128661084,mixed,4.74099,7215862
