Dataset,Query,Circinus,Peregrine,CBF,PBE
YT,q1,4.6361,59.2978,163,0.9989
YT,q2,0.2440,0.3315,78,0.0410
YT,q3,21.2705,1554.3700,235,17.8879
YT,q4,6.9116,5.5757,419,0.3050
YT,q5,1.2775,6.6653,514,27.6326
YT,q6,103.3595,2674.2200,408,691.3040
YT,q7,130.0850,3574.1900,211,73.8156
YT,q8,5.5669,813.4730,,215.5130
LJ,q1,98.1922,217.6690,773,17.3289
LJ,q2,5.0718,2.8220,94,0.5964
LJ,q3,536.6320,1637.0900,3082,145.8990
LJ,q4,263.0710,133.0220,3747,52.0000
LJ,q5,148.3180,136.0440,1989,1140.8800
LJ,q6,1237.5800,43201.0000,586,43201.0000
LJ,q7,1440.8300,43201.0000,1405,6313.4600
LJ,q8,15772.9000,43201.0000,,43201.0000
OR,q1,1409.7100,4620.5500,2966,483.7210
OR,q2,31.0296,18.3187,118,12.0461
OR,q3,8865.7100,55169.4000,24729,10931.0000
OR,q4,1669.3100,1219.7300,8937,6787.6500
OR,q5,397.2470,1343.9700,15301,28128.4000
OR,q6,26299.9000,1323630.0000,5066,43201.0000
OR,q7,17284.0000,43201.0000,12437,25229.0000
OR,q8,4806.8000,43201.0000,,43201.0000
FR,q1,26838.8000,77258.3000,43201,202531.0000
FR,q2,583.5460,337.6710,835,4429.1900
FR,q4,8357.4100,6005.9000,43201,18565.0000
FR,q5,2228.8000,6066.1300,43201,17387.0000
